,Accuracy
0,0.8778280542986425
1,0.8778280542986425
2,0.8823529411764706
3,0.8868778280542986
4,0.8914027149321267
5,0.8868778280542986
6,0.8733031674208145
7,0.8778280542986425
8,0.8959276018099548
9,0.8778280542986425
